Sites	Ll_YN98.omega=0.00197485	Ll_YN98.omega=0.0068784	Ll_YN98.omega=0.0253055	Ll_YN98.omega=0.140586	Ll_YN98.omega=1	Pr_YN98.omega=0.00197485	Pr_YN98.omega=0.0068784	Pr_YN98.omega=0.0253055	Pr_YN98.omega=0.140586	Pr_YN98.omega=1	mean
20	-4.0624	-4.07149	-4.10567	-4.31903	-5.88385	0.268006	0.265579	0.256655	0.207342	0.00241828	0.0404186
21	-9.4816	-9.48907	-9.51712	-9.69238	-10.9832	0.264548	0.26258	0.255315	0.21427	0.00328684	0.0421997
22	-4.31665	-4.3263	-4.36257	-4.58914	-6.25911	0.269181	0.266595	0.257098	0.204975	0.00215205	0.03984
23	-4.31665	-4.3263	-4.36257	-4.58914	-6.25911	0.269181	0.266595	0.257098	0.204975	0.00215205	0.03984
24	-4.52064	-4.52989	-4.56462	-4.78152	-6.37808	0.268323	0.265853	0.256779	0.206709	0.00233557	0.0402525
25	-4.0624	-4.07149	-4.10567	-4.31903	-5.88385	0.268006	0.265579	0.256655	0.207342	0.00241828	0.0404186
26	-4.31665	-4.3263	-4.36257	-4.58914	-6.25911	0.269181	0.266595	0.257098	0.204975	0.00215205	0.03984
27	-14.3778	-14.3835	-14.4051	-14.5398	-15.5307	0.260732	0.259239	0.253707	0.221731	0.00459071	0.0444813
28	-14.9368	-13.6986	-12.4326	-10.9461	-10.6459	0.01336	0.0460818	0.163442	0.722701	0.0544157	0.160497
29	-3.75504	-3.76406	-3.79794	-4.00944	-5.56171	0.267839	0.265435	0.256594	0.207679	0.00245278	0.0404976
30	-3.9397	-3.94754	-3.97701	-4.16115	-5.52025	0.265365	0.263292	0.255645	0.212652	0.00304669	0.0417469
31	-4.49769	-4.50558	-4.53522	-4.72042	-6.08732	0.265462	0.263376	0.255684	0.212457	0.00302028	0.0416949
32	-8.30403	-8.31048	-8.33473	-8.48622	-9.60482	0.262332	0.260645	0.254401	0.218638	0.00398415	0.0434703
33	-7.18534	-7.19365	-7.22488	-7.41974	-8.84627	0.26634	0.264135	0.256016	0.210687	0.00282173	0.0412628
34	-18.4696	-17.229	-15.954	-14.4113	-13.7216	0.0123245	0.0426126	0.15251	0.713264	0.0792892	0.183741
35	-4.85901	-4.86938	-4.90834	-5.1513	-6.91784	0.27062	0.267827	0.257594	0.202033	0.00192589	0.0392241
36	-7.856	-7.86586	-7.90289	-8.1342	-9.83726	0.269599	0.266954	0.257248	0.204125	0.00207337	0.039649
37	-12.9923	-13.0012	-13.0349	-13.2451	-14.7817	0.267723	0.265332	0.256544	0.207907	0.00249434	0.040569
38	-5.10286	-5.10996	-5.13665	-5.30344	-6.53851	0.263767	0.2619	0.255004	0.215828	0.00350054	0.0426183
39	-14.874	-14.8787	-14.8961	-15.0051	-15.8094	0.258229	0.257032	0.252586	0.226501	0.00565175	0.0461644
40	-7.57092	-7.58038	-7.6159	-7.83761	-9.45871	0.268749	0.266219	0.256927	0.205837	0.00226934	0.0400707
41	-11.6097	-11.6163	-11.6412	-11.7966	-12.9306	0.262694	0.260957	0.254537	0.217902	0.00391005	0.043299
42	-4.0624	-4.07149	-4.10567	-4.31903	-5.88385	0.268006	0.265579	0.256655	0.207342	0.00241828	0.0404186
43	-7.44419	-7.45125	-7.47774	-7.64314	-8.85725	0.263633	0.26178	0.254936	0.216072	0.00357873	0.0427281
44	-10.8743	-10.8844	-10.9224	-11.1596	-12.884	0.270115	0.267393	0.257414	0.203058	0.002019	0.0394529
45	-7.15441	-7.16332	-7.19678	-7.40562	-8.93208	0.2676	0.265226	0.256497	0.208154	0.00252268	0.0406298
46	-17.4168	-16.1751	-14.8958	-13.3263	-12.4245	0.0117806	0.040778	0.146567	0.704114	0.0967607	0.199762
47	-4.39063	-4.39821	-4.42669	-4.60462	-5.91792	0.264796	0.262796	0.255417	0.213784	0.00320647	0.0420556
48	-4.65781	-4.66463	-4.69026	-4.85042	-6.03492	0.263148	0.261359	0.254746	0.217045	0.00370287	0.0429803
49	-5.29455	-5.30481	-5.34332	-5.58351	-7.32956	0.270378	0.267619	0.257507	0.202525	0.00197055	0.0393339
50	-8.53062	-8.54007	-8.57558	-8.79737	-10.4299	0.268757	0.266229	0.25694	0.20583	0.00224341	0.0400443
51	-13.297	-13.3059	-13.3395	-13.5492	-15.0944	0.26768	0.265298	0.25654	0.208008	0.00247408	0.0405625
52	-3.9397	-3.94754	-3.97701	-4.16115	-5.52025	0.265365	0.263292	0.255645	0.212652	0.00304669	0.0417469
53	-4.56409	-4.57449	-4.61356	-4.85719	-6.63064	0.270679	0.267879	0.257617	0.201914	0.0019115	0.0391941
54	-10.7392	-10.7503	-10.7918	-11.0509	-12.9514	0.272023	0.269034	0.258097	0.199186	0.00166066	0.0385825
55	-3.70025	-3.71098	-3.75127	-4.00303	-5.86086	0.271387	0.268492	0.257887	0.20049	0.00174446	0.0388392
56	-3.76885	-3.77994	-3.82162	-4.08183	-5.99235	0.272119	0.269117	0.258132	0.19899	0.00164253	0.0385384
57	-13.5006	-13.5079	-13.5355	-13.7073	-14.9677	0.264231	0.262302	0.25518	0.214888	0.0033983	0.0423921
58	-7.18048	-7.18834	-7.2179	-7.40255	-8.76536	0.265412	0.263332	0.255664	0.212558	0.00303408	0.0417219
59	-8.83662	-8.84496	-8.87632	-9.07225	-10.517	0.266438	0.264223	0.256065	0.210506	0.00276834	0.041186
60	-28.2254	-28.2337	-28.2647	-28.4582	-29.8756	0.266218	0.26403	0.255969	0.210933	0.00285089	0.0413244
61	-9.10381	-9.11109	-9.13847	-9.30956	-10.5752	0.264165	0.262247	0.255165	0.215039	0.00338277	0.0423969
62	-3.76283	-3.77199	-3.80641	-4.02131	-5.59883	0.268143	0.265697	0.256708	0.207067	0.00238459	0.0403486
63	-3.70025	-3.71098	-3.75127	-4.00303	-5.86086	0.271387	0.268492	0.257887	0.20049	0.00174446	0.0388392
64	-5.36872	-5.37635	-5.40502	-5.58398	-6.89774	0.264888	0.262875	0.255447	0.213588	0.00320206	0.0420251
65	-21.8609	-21.869	-21.8991	-22.0871	-23.4646	0.265717	0.263595	0.255773	0.211935	0.00298106	0.0415865
66	-7.9827	-7.99075	-8.02099	-8.20989	-9.60286	0.2658	0.263669	0.255816	0.211782	0.0029332	0.0415189
67	-3.70025	-3.71098	-3.75127	-4.00303	-5.86086	0.271387	0.268492	0.257887	0.20049	0.00174446	0.0388392
68	-6.13281	-6.13921	-6.16323	-6.31308	-7.40658	0.26217	0.260499	0.254316	0.218924	0.00409077	0.0436137
69	-4.53762	-4.54484	-4.57198	-4.74149	-5.99041	0.264017	0.262117	0.255099	0.215323	0.00344433	0.0424955
70	-4.46349	-4.47532	-4.51977	-4.7972	-6.83016	0.273597	0.270379	0.258625	0.195968	0.00143117	0.0379263
71	-10.1411	-10.1497	-10.1824	-10.3863	-11.8789	0.267156	0.264843	0.25633	0.20905	0.00262092	0.0408463
72	-15.0624	-13.825	-12.5621	-11.0954	-10.9642	0.0137339	0.0473323	0.167354	0.725448	0.0461313	0.152707
73	-5.10913	-5.11635	-5.14346	-5.31294	-6.56792	0.264016	0.262117	0.255106	0.215337	0.00342372	0.0424771
74	-10.2227	-10.2304	-10.2594	-10.44	-11.7651	0.26504	0.263006	0.255506	0.213286	0.00316151	0.0419448
75	-7.95747	-7.9652	-7.99424	-8.1755	-9.50556	0.265099	0.263058	0.25553	0.213168	0.00314407	0.0419118
76	-4.66624	-4.67317	-4.69921	-4.86194	-6.06557	0.263388	0.261569	0.254846	0.216573	0.00362484	0.0428403
77	-8.89823	-8.90707	-8.94026	-9.14756	-10.675	0.267464	0.265112	0.256458	0.208442	0.00252378	0.0406694
78	-10.7458	-10.7549	-10.7891	-11.0029	-12.5649	0.268042	0.265608	0.256662	0.207263	0.00242428	0.0404139
79	-11.1617	-11.1711	-11.2065	-11.4272	-13.0398	0.268659	0.266141	0.256893	0.206016	0.00229062	0.0401157
80	-4.47014	-4.47942	-4.51428	-4.73175	-6.31962	0.268372	0.265893	0.256784	0.206596	0.00235467	0.0402562
81	-15.3991	-14.1612	-12.8964	-11.4168	-11.149	0.0134745	0.046462	0.164597	0.722779	0.0526872	0.158811
82	-10.4787	-10.4852	-10.5095	-10.6613	-11.782	0.26236	0.260669	0.254413	0.218583	0.00397482	0.0434537
83	-4.5078	-4.51581	-4.54593	-4.7341	-6.1231	0.265734	0.263612	0.255791	0.211916	0.00294672	0.0415501
84	-3.76885	-3.77994	-3.82162	-4.08183	-5.99234	0.272119	0.269117	0.258132	0.19899	0.00164255	0.0385384
85	-4.5699	-4.57577	-4.59782	-4.73562	-5.75528	0.261032	0.259505	0.253846	0.221168	0.0044494	0.0442667
86	-4.07061	-4.07986	-4.11458	-4.33137	-5.92165	0.268312	0.265843	0.25677	0.206725	0.00235047	0.0402693
87	-9.01528	-9.02452	-9.05925	-9.27616	-10.8725	0.268323	0.265854	0.256779	0.206708	0.00233604	0.0402528
88	-5.10913	-5.11635	-5.14346	-5.31294	-6.56792	0.264016	0.262117	0.255106	0.215337	0.00342372	0.0424771
89	-12.6485	-12.6589	-12.6982	-12.9431	-14.7264	0.270789	0.267973	0.257656	0.201691	0.00189066	0.0391437
90	-32.5575	-30.0681	-27.4869	-24.2075	-21.379	0.000119134	0.00143602	0.018974	0.503947	0.475524	0.546862
91	-4.78785	-4.79599	-4.82656	-5.01758	-6.42697	0.265993	0.263837	0.255892	0.211398	0.00288019	0.0414154
92	-4.46349	-4.47532	-4.51977	-4.7972	-6.83016	0.273597	0.270379	0.258625	0.195968	0.00143118	0.0379263
93	-18.8728	-17.6325	-16.3584	-14.8219	-14.1655	0.0124317	0.0429717	0.15364	0.714174	0.076783	0.181394
94	-4.41551	-4.4233	-4.45256	-4.63535	-5.98169	0.265241	0.263183	0.255593	0.212894	0.00308934	0.0418213
95	-4.80459	-4.81438	-4.85118	-5.08101	-6.77379	0.269468	0.266842	0.257202	0.204391	0.00209751	0.0397082
96	-5.006	-5.01247	-5.0368	-5.18879	-6.31092	0.262379	0.260685	0.25442	0.218547	0.00396844	0.0434427
97	-4.53762	-4.54484	-4.57198	-4.74149	-5.9904	0.264017	0.262117	0.255099	0.215323	0.00344434	0.0424955
98	-25.4248	-24.1872	-22.9234	-21.451	-21.2627	0.0136224	0.0469587	0.166178	0.724464	0.048777	0.155182
99	-26.819	-24.3297	-21.7491	-18.4734	-15.6876	0.000122074	0.00147124	0.0194286	0.514114	0.464864	0.537644
100	-8.06098	-8.06997	-8.10372	-8.3144	-9.85987	0.267767	0.265372	0.256565	0.207825	0.00247127	0.0405353
101	-8.25836	-8.2663	-8.29611	-8.48239	-9.85745	0.265562	0.263462	0.255723	0.21226	0.00299295	0.0416416
102	-5.00135	-5.00835	-5.03467	-5.19917	-6.41647	0.263552	0.261713	0.254914	0.21625	0.00357024	0.0427434
103	-22.1395	-22.1469	-22.1748	-22.3488	-23.6198	0.264427	0.262471	0.255253	0.214493	0.00335624	0.0422978
104	-4.26457	-4.27316	-4.30544	-4.50707	-5.99311	0.266954	0.26467	0.256263	0.20947	0.00264333	0.0409245
105	-8.10384	-8.11099	-8.13788	-8.30583	-9.54499	0.263873	0.261991	0.255042	0.215612	0.00348274	0.0425719
106	-4.39918	-4.40688	-4.43582	-4.61661	-5.95116	0.265059	0.263025	0.255523	0.213262	0.0031314	0.0419119
107	-4.53762	-4.54484	-4.57198	-4.74149	-5.99041	0.264017	0.262117	0.255099	0.215323	0.00344433	0.0424955
108	-16.0169	-16.0278	-16.0687	-16.3245	-18.194	0.271732	0.268783	0.257991	0.199776	0.00171799	0.0387178
109	-4.5078	-4.51581	-4.54593	-4.7341	-6.12311	0.265734	0.263612	0.255791	0.211916	0.0029467	0.0415501
110	-9.08196	-9.08844	-9.11277	-9.26477	-10.3856	0.26238	0.260686	0.254419	0.218542	0.00397336	0.0434468
111	-7.19235	-7.20021	-7.22977	-7.41431	-8.76879	0.2654	0.26332	0.25565	0.212571	0.00305964	0.0417488
112	-4.07062	-4.07986	-4.11459	-4.33138	-5.92166	0.268312	0.265843	0.25677	0.206725	0.00235046	0.0402693
113	-3.70025	-3.71098	-3.75127	-4.00303	-5.86086	0.271387	0.268492	0.257887	0.20049	0.00174446	0.0388392
114	-16.3653	-15.1276	-13.8635	-12.3891	-12.1748	0.0135778	0.0468087	0.165698	0.723897	0.0500186	0.15633
115	-17.1603	-17.1701	-17.2066	-17.4349	-19.1169	0.269329	0.266722	0.257152	0.204674	0.00212315	0.0397714
116	-31.0915	-28.6055	-26.0368	-22.8356	-20.5936	0.000165527	0.0019886	0.0259489	0.637342	0.334555	0.424827
117	-9.32251	-9.32899	-9.35336	-9.50557	-10.6283	0.262399	0.260703	0.254428	0.218505	0.0039653	0.0434339
118	-25.8624	-23.375	-20.8012	-17.5681	-15.0916	0.000146474	0.0017621	0.0231111	0.586047	0.388934	0.471921
119	-13.9275	-13.9351	-13.9634	-14.1405	-15.4398	0.264712	0.262721	0.255375	0.213938	0.00325391	0.0421229
120	-25.2918	-24.0516	-22.7778	-21.2432	-20.6103	0.0124762	0.0431224	0.154137	0.715162	0.075102	0.179866
121	-6.11429	-6.1224	-6.15287	-6.34307	-7.73645	0.265916	0.263767	0.255851	0.211537	0.0029286	0.0414817
122	-15.4677	-14.227	-12.9514	-11.4055	-10.6882	0.012258	0.0423885	0.151786	0.712188	0.0813796	0.18566
123	-24.8265	-22.3368	-19.7544	-16.4677	-13.6012	0.000115964	0.00139826	0.0184976	0.494907	0.485081	0.555136
124	-8.33353	-8.34276	-8.37742	-8.59375	-10.1795	0.268271	0.265807	0.256753	0.206807	0.00236206	0.0402916
125	-8.35518	-8.36256	-8.39027	-8.56341	-9.84192	0.264355	0.262412	0.25524	0.21466	0.00333362	0.0422979
126	-4.66625	-4.67318	-4.69922	-4.86195	-6.06557	0.263388	0.261569	0.254846	0.216573	0.00362482	0.0428403
127	-4.80459	-4.81439	-4.85118	-5.08101	-6.7738	0.269468	0.266842	0.257202	0.20439	0.0020975	0.0397082
128	-5.006	-5.01248	-5.0368	-5.18879	-6.31093	0.262379	0.260685	0.25442	0.218547	0.00396842	0.0434426
129	-4.5078	-4.51581	-4.54593	-4.7341	-6.12311	0.265734	0.263612	0.255791	0.211916	0.0029467	0.0415501
130	-3.94765	-3.95562	-3.98557	-4.17266	-5.55375	0.265635	0.263527	0.255752	0.212113	0.00297288	0.0416022
131	-12.604	-12.6136	-12.6498	-12.8757	-14.5263	0.269115	0.266534	0.25706	0.205096	0.00219537	0.0398988
132	-7.42083	-7.42979	-7.46344	-7.67348	-9.2124	0.267709	0.265321	0.256542	0.20794	0.00248889	0.0405679
133	-8.91502	-8.92269	-8.95151	-9.13157	-10.4607	0.264992	0.262967	0.255496	0.213395	0.00315039	0.0419484
134	-5.36568	-5.37195	-5.39551	-5.54264	-6.62552	0.261918	0.26028	0.25422	0.219438	0.00414413	0.0437348
135	-10.0041	-10.011	-10.0368	-10.1975	-11.3684	0.263196	0.261396	0.254744	0.216912	0.00375153	0.0430106
136	-7.16502	-7.17317	-7.20381	-7.39503	-8.79627	0.266009	0.263849	0.255888	0.211351	0.0029031	0.0414316
137	-5.21709	-5.22551	-5.25716	-5.4549	-6.91307	0.266603	0.264366	0.256129	0.210175	0.0027272	0.0411013
138	-5.10913	-5.11635	-5.14346	-5.31294	-6.56793	0.264016	0.262117	0.255106	0.215337	0.0034237	0.0424771
139	-8.82656	-8.8345	-8.86436	-9.05088	-10.4277	0.265583	0.263481	0.255732	0.212217	0.00298705	0.0416301
140	-10.0755	-10.0834	-10.1132	-10.2989	-11.6585	0.265508	0.263413	0.255689	0.212349	0.00304103	0.0417009
141	-7.75844	-7.76847	-7.80614	-8.04142	-9.77409	0.269948	0.267255	0.257375	0.203416	0.00200589	0.0394878
142	-3.94765	-3.95562	-3.98557	-4.17266	-5.55375	0.265635	0.263527	0.255752	0.212113	0.00297288	0.0416022
143	-4.72595	-4.73383	-4.76346	-4.94848	-6.31047	0.265445	0.26336	0.255673	0.212487	0.00303554	0.0417139
144	-14.8805	-14.8898	-14.9248	-15.1434	-16.7524	0.268472	0.265983	0.256835	0.206408	0.00230326	0.0401804
145	-3.83031	-3.83949	-3.87397	-4.08935	-5.67626	0.268187	0.265737	0.25673	0.206985	0.00236137	0.0403148
146	-5.64825	-5.65427	-5.67685	-5.81798	-6.86144	0.261349	0.259783	0.253982	0.220553	0.00433266	0.0440695
147	-4.57949	-4.59005	-4.62974	-4.87729	-6.67981	0.271021	0.268172	0.257737	0.201219	0.00185035	0.0390409
148	-14.0398	-12.7995	-11.5254	-9.98916	-9.34033	0.0124413	0.0430048	0.153755	0.714551	0.0762473	0.180915
149	-5.10913	-5.11635	-5.14346	-5.31294	-6.56793	0.264016	0.262117	0.255106	0.215337	0.0034237	0.0424771
150	-14.1257	-14.1332	-14.1615	-14.3379	-15.6286	0.264647	0.262664	0.255345	0.214061	0.00328386	0.0421688
151	-15.718	-14.4779	-13.2045	-11.6726	-11.058	0.0125272	0.0432936	0.15468	0.715695	0.0738037	0.178657
152	-9.52933	-9.54113	-9.58549	-9.86237	-11.8906	0.273549	0.270338	0.258609	0.196064	0.00143867	0.0379466
153	-12.6773	-12.6877	-12.7268	-12.9706	-14.7438	0.270695	0.267892	0.257621	0.20188	0.00191178	0.0391898
154	-4.66625	-4.67318	-4.69922	-4.86195	-6.06557	0.263388	0.261569	0.254846	0.216573	0.00362482	0.0428403
155	-3.70025	-3.71098	-3.75127	-4.00303	-5.86086	0.271387	0.268492	0.257887	0.20049	0.00174446	0.0388392
156	-5.36872	-5.37635	-5.40502	-5.58398	-6.89774	0.264888	0.262875	0.255447	0.213588	0.00320206	0.0420251
157	-8.87441	-8.88208	-8.9109	-9.09093	-10.4198	0.264989	0.262964	0.255495	0.213401	0.00315121	0.04195
158	-6.91751	-6.92851	-6.96982	-7.22767	-9.11483	0.271915	0.268941	0.258056	0.199404	0.00168485	0.0386354
159	-3.94765	-3.95562	-3.98557	-4.17266	-5.55375	0.265635	0.263527	0.255752	0.212113	0.00297288	0.0416022
160	-7.50253	-7.51042	-7.54007	-7.72527	-9.09217	0.265462	0.263376	0.255684	0.212458	0.00302025	0.0416949
161	-11.0772	-11.0852	-11.115	-11.3009	-12.661	0.265529	0.263431	0.255696	0.212305	0.00303885	0.0416929
162	-4.84862	-4.8545	-4.8766	-5.01465	-6.03464	0.261055	0.259524	0.253853	0.22112	0.00444696	0.044258
163	-7.19506	-7.20349	-7.23518	-7.43293	-8.88094	0.266602	0.264363	0.256118	0.210163	0.00275491	0.041127
164	-3.70025	-3.71098	-3.75127	-4.00303	-5.86086	0.271387	0.268492	0.257887	0.20049	0.00174446	0.0388392
165	-7.53725	-7.54384	-7.5686	-7.72335	-8.86681	0.262639	0.260914	0.254532	0.21804	0.0038757	0.0432835
166	-11.284	-11.2919	-11.3215	-11.5065	-12.8629	0.265437	0.263352	0.255664	0.212494	0.00305261	0.0417317
167	-11.7327	-11.7417	-11.7757	-11.9879	-13.54	0.267898	0.265484	0.25661	0.207555	0.00245167	0.0404799
168	-5.20784	-5.21424	-5.23826	-5.38837	-6.49808	0.262203	0.260531	0.254348	0.218894	0.00402443	0.0435442
169	-8.44372	-8.45072	-8.47705	-8.64158	-9.8575	0.263555	0.261714	0.254913	0.216243	0.00357506	0.0427472
170	-9.78693	-9.79335	-9.81746	-9.96811	-11.0806	0.262252	0.260575	0.254367	0.218795	0.00401127	0.0435179
171	-14.3074	-14.3174	-14.3547	-14.5874	-16.2874	0.269724	0.267059	0.257281	0.203859	0.00207697	0.0396169
172	-4.84862	-4.8545	-4.8766	-5.01465	-6.03464	0.261055	0.259524	0.253853	0.22112	0.00444696	0.044258
173	-5.36872	-5.37635	-5.40502	-5.58398	-6.89774	0.264888	0.262875	0.255447	0.213588	0.00320206	0.0420251
174	-7.91396	-7.92205	-7.95247	-8.14246	-9.54255	0.265899	0.263755	0.255854	0.211583	0.00290964	0.0414691
175	-3.99035	-4.00027	-4.03754	-4.27034	-5.98524	0.26973	0.267067	0.257297	0.20386	0.0020463	0.0395869
176	-17.7279	-16.4897	-15.2234	-13.7355	-13.4429	0.0133471	0.0460405	0.163339	0.72323	0.0540435	0.160196
177	-4.72595	-4.73383	-4.76346	-4.94848	-6.31047	0.265445	0.26336	0.255673	0.212487	0.00303554	0.0417139
178	-3.94765	-3.95562	-3.98557	-4.17266	-5.55375	0.265635	0.263527	0.255752	0.212113	0.00297288	0.0416022
179	-7.83331	-7.83932	-7.86189	-8.00293	-9.04419	0.26134	0.259774	0.253976	0.220568	0.00434248	0.0440812
180	-16.5838	-15.3423	-14.0637	-12.4991	-11.6458	0.0118916	0.0411543	0.147809	0.706635	0.0925101	0.1959
181	-4.84862	-4.8545	-4.8766	-5.01465	-6.03464	0.261055	0.259524	0.253853	0.22112	0.00444696	0.044258
182	-6.11429	-6.1224	-6.15287	-6.34307	-7.73645	0.265916	0.263767	0.255851	0.211537	0.0029286	0.0414817
183	-11.0054	-11.0113	-11.0332	-11.1704	-12.1851	0.260971	0.259451	0.253818	0.221287	0.00447387	0.0443067
184	-14.7052	-14.7133	-14.7437	-14.9333	-16.3169	0.265861	0.263718	0.255823	0.211639	0.00295879	0.041525
185	-3.94765	-3.95562	-3.98556	-4.17265	-5.55374	0.265635	0.263527	0.255752	0.212113	0.00297289	0.0416022
186	-10.9731	-10.9822	-11.0163	-11.2289	-12.7903	0.26794	0.265522	0.256632	0.207478	0.00242814	0.0404464
187	-4.87517	-4.88571	-4.92529	-5.17215	-6.96768	0.270961	0.26812	0.257715	0.201339	0.00186445	0.0390709
188	-9.66549	-9.67601	-9.71551	-9.96182	-11.7534	0.270914	0.26808	0.257698	0.201436	0.00187266	0.0390919
189	-4.96512	-4.97402	-5.00746	-5.2163	-6.75417	0.267603	0.265231	0.256509	0.208163	0.00249416	0.0406029
190	-4.87517	-4.88571	-4.92529	-5.17215	-6.96768	0.270961	0.26812	0.257715	0.201339	0.00186445	0.0390709
191	-4.07061	-4.07986	-4.11458	-4.33137	-5.92165	0.268312	0.265843	0.25677	0.206725	0.00235047	0.0402693
192	-17.2513	-17.2602	-17.2936	-17.5023	-19.0249	0.267581	0.265209	0.256488	0.208189	0.00253276	0.0406445
193	-12.3989	-12.4049	-12.4275	-12.5682	-13.6075	0.261314	0.259752	0.253965	0.220616	0.00435218	0.0440972
194	-9.48167	-9.48957	-9.51925	-9.70468	-11.0734	0.265484	0.263395	0.255692	0.212415	0.00301408	0.0416832
195	-10.4405	-10.4488	-10.4802	-10.6763	-12.1208	0.266447	0.264231	0.256068	0.210486	0.00276875	0.0411837
196	-4.47014	-4.47942	-4.51428	-4.73175	-6.31963	0.268372	0.265893	0.256784	0.206596	0.00235466	0.0402562
197	-5.31104	-5.32146	-5.3606	-5.60464	-7.37935	0.270716	0.26791	0.257628	0.201839	0.0019084	0.039181
198	-4.53762	-4.54484	-4.57198	-4.74149	-5.9904	0.264017	0.262117	0.255099	0.215323	0.00344434	0.0424955
199	-5.006	-5.01247	-5.0368	-5.18879	-6.31092	0.262379	0.260685	0.25442	0.218547	0.00396843	0.0434426
200	-12.2071	-12.2146	-12.2428	-12.4186	-13.7153	0.264602	0.262627	0.255338	0.214168	0.00326612	0.0421656
201	-10.6306	-10.6391	-10.6707	-10.8682	-12.3184	0.266577	0.264342	0.256113	0.210219	0.00274944	0.0411291
202	-8.42825	-8.4371	-8.47034	-8.67799	-10.2089	0.267495	0.265139	0.256471	0.208381	0.00251426	0.0406518
203	-15.2633	-15.272	-15.3046	-15.508	-17.003	0.267117	0.26481	0.256321	0.209136	0.00261548	0.0408524
204	-3.76283	-3.77199	-3.80641	-4.02131	-5.59882	0.268143	0.265697	0.256708	0.207067	0.0023846	0.0403486
205	-19.0677	-19.077	-19.1117	-19.3284	-20.9222	0.268304	0.265838	0.256771	0.206745	0.00234228	0.0402638
206	-29.0792	-29.0872	-29.1175	-29.3063	-30.6891	0.265792	0.26366	0.255802	0.211783	0.00296325	0.0415487
207	-3.76885	-3.77994	-3.82162	-4.08183	-5.99235	0.272119	0.269117	0.258132	0.19899	0.00164254	0.0385384
208	-12.2312	-12.2391	-12.2689	-12.4549	-13.8207	0.265536	0.263438	0.255705	0.2123	0.00302148	0.041675
209	-8.23547	-8.24583	-8.28474	-8.52747	-10.2974	0.270601	0.267812	0.257592	0.202076	0.00191989	0.039224
210	-29.4918	-29.5022	-29.541	-29.7832	-31.5456	0.270557	0.267773	0.257571	0.202163	0.00193524	0.0392507
211	-4.26457	-4.27316	-4.30544	-4.50706	-5.99311	0.266954	0.26467	0.256263	0.20947	0.00264334	0.0409245
212	-5.006	-5.01247	-5.0368	-5.18879	-6.31092	0.262379	0.260685	0.25442	0.218547	0.00396843	0.0434426
213	-15.2408	-14.0018	-12.7328	-11.2277	-10.8037	0.0130273	0.0449701	0.159978	0.720615	0.0614097	0.167102
214	-9.16391	-9.17207	-9.20272	-9.39423	-10.8077	0.266038	0.263876	0.25591	0.211308	0.00286733	0.0413908
